material,LCstage,disposition,impactCategory,impactUnits,impactFactor,corporateSource,impactFactorID
Aluminum,endOfLife,recyclingGeneric,Blue water use,kg,-17962604.23,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Total freshwater consumption (including rainwater),kg,-72539.70878,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,Total freshwater use,kg,-17962882.66,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,high characterization factor for unspecified water,m3 equiv.,-57.80902404,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,low characterization factor for unspecified water,m3 equiv.,-7.226128004,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric,OECD+BRIC average for unspecified water,m3 equiv.,-24.63574916,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,520.8614558,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,485.5417982,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Primary energy from non renewable resources (gross cal. value),MJ,509.3553592,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Primary energy from non renewable resources (net cal. value),MJ,474.0357016,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Primary energy from renewable resources (gross cal. value),MJ,11.50609663,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Primary energy from renewable resources (net cal. value),MJ,11.50609663,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,33.34090747,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,33.56663769,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.037910286,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Acidification,kg SO2 eq.,0.156724652,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Ecotoxicity (recommended),CTUe,4.183602093,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Eutrophication,kg N eq.,0.012781037,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,33.30299718,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,33.5287274,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Human Health Particulate Air,kg PM2.5 eq.,0.009804752,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,"Human toxicity, cancer (recommended)",CTUh,1.77E-08,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,"Human toxicity, non-canc. (recommended)",CTUh,1.32E-06,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Ozone Depletion Air,kg CFC 11 eq.,2.31E-10,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,"Resources, Fossil fuels",MJ surplus energy,63.6432118,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Smog Air,kg O3 eq.,5.147979229,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Ecotoxicity (recommended and interim),CTUe,405.6393229,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Ecotoxicity (recommended only),CTUe,0.178806474,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,"Human toxicity, cancer (recommended and interim)",CTUh,5.01E-07,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,"Human toxicity, cancer (recommended only)",CTUh,1.50E-10,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,"Human toxicity, non-canc. (recommended and interim)",CTUh,1.51E-06,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,"Human toxicity, non-canc. (recommended only)",CTUh,4.89E-11,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,high characterization factor for unspecified water,m3 world equiv.,1.823574521,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,low characterization factor for unspecified water,m3 world equiv.,1.713239532,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,OECD+BRIC average for unspecified water,m3 world equiv.,1.778378359,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Blue water consumption,kg,57.01161647,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Blue water use,kg,983.454907,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Total freshwater consumption (including rainwater),kg,367.819126,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,Total freshwater use,kg,1294.275471,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,high characterization factor for unspecified water,m3 equiv.,0.027153611,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,low characterization factor for unspecified water,m3 equiv.,0.025753794,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,recyclingGeneric_transport,OECD+BRIC average for unspecified water,m3 equiv.,0.026235583,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,78471.25122,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,73366.80729,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Primary energy from non renewable resources (gross cal. value),MJ,57180.37255,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Primary energy from non renewable resources (net cal. value),MJ,52075.92863,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Primary energy from renewable resources (gross cal. value),MJ,21290.87867,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Primary energy from renewable resources (net cal. value),MJ,21290.87867,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,4663.241603,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,4652.712986,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Acidification,kg SO2 eq.,25.89418936,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Ecotoxicity (recommended),CTUe,231.1884931,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Eutrophication,kg N eq.,0.487520189,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,4663.241603,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,4652.712986,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Human Health Particulate Air,kg PM2.5 eq.,4.095062557,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,"Human toxicity, cancer (recommended)",CTUh,2.87E-05,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,"Human toxicity, non-canc. (recommended)",CTUh,0.003453893,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Ozone Depletion Air,kg CFC 11 eq.,3.54E-07,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,"Resources, Fossil fuels",MJ surplus energy,4435.906905,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Smog Air,kg O3 eq.,224.1269104,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Ecotoxicity (recommended and interim),CTUe,5148503.534,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Ecotoxicity (recommended only),CTUe,0.528450816,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,"Human toxicity, cancer (recommended and interim)",CTUh,4.66E-05,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,"Human toxicity, cancer (recommended only)",CTUh,1.20E-07,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,"Human toxicity, non-canc. (recommended and interim)",CTUh,0.005168929,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,"Human toxicity, non-canc. (recommended only)",CTUh,5.82E-09,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,high characterization factor for unspecified water,m3 world equiv.,5648.998145,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,low characterization factor for unspecified water,m3 world equiv.,171.6220784,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,OECD+BRIC average for unspecified water,m3 world equiv.,3405.318401,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Blue water consumption,kg,99273.34916,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Blue water use,kg,23502483.14,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Total freshwater consumption (including rainwater),kg,101388.6422,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,Total freshwater use,kg,23504598.43,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,high characterization factor for unspecified water,m3 equiv.,79.41867933,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,low characterization factor for unspecified water,m3 equiv.,9.927334916,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production,OECD+BRIC average for unspecified water,m3 equiv.,33.84486583,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,520.8614558,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,485.5417982,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Primary energy from non renewable resources (gross cal. value),MJ,509.3553592,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Primary energy from non renewable resources (net cal. value),MJ,474.0357016,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Primary energy from renewable resources (gross cal. value),MJ,11.50609663,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Primary energy from renewable resources (net cal. value),MJ,11.50609663,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,33.34090747,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,33.56663769,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.037910286,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Acidification,kg SO2 eq.,0.156724652,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Ecotoxicity (recommended),CTUe,4.183602093,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Eutrophication,kg N eq.,0.012781037,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,33.30299718,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,33.5287274,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Human Health Particulate Air,kg PM2.5 eq.,0.009804752,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,"Human toxicity, cancer (recommended)",CTUh,1.77E-08,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,"Human toxicity, non-canc. (recommended)",CTUh,1.32E-06,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Ozone Depletion Air,kg CFC 11 eq.,2.31E-10,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,"Resources, Fossil fuels",MJ surplus energy,63.6432118,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Smog Air,kg O3 eq.,5.147979229,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Ecotoxicity (recommended and interim),CTUe,405.6393229,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Ecotoxicity (recommended only),CTUe,0.178806474,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,"Human toxicity, cancer (recommended and interim)",CTUh,5.01E-07,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,"Human toxicity, cancer (recommended only)",CTUh,1.50E-10,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,"Human toxicity, non-canc. (recommended and interim)",CTUh,1.51E-06,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,"Human toxicity, non-canc. (recommended only)",CTUh,4.89E-11,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,high characterization factor for unspecified water,m3 world equiv.,1.823574521,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,low characterization factor for unspecified water,m3 world equiv.,1.713239532,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,OECD+BRIC average for unspecified water,m3 world equiv.,1.778378359,AWARE,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Blue water consumption,kg,57.01161647,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Blue water use,kg,983.454907,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Total freshwater consumption (including rainwater),kg,367.819126,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,Total freshwater use,kg,1294.275471,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,high characterization factor for unspecified water,m3 equiv.,0.027153611,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,low characterization factor for unspecified water,m3 equiv.,0.025753794,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,production,production_transport,OECD+BRIC average for unspecified water,m3 equiv.,0.026235583,WSI,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,-5959.575345,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-5316.37705,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Primary energy from non renewable resources (gross cal. value),MJ,-6101.726184,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Primary energy from non renewable resources (net cal. value),MJ,-5457.633787,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Primary energy from renewable resources (gross cal. value),MJ,142.1508392,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Primary energy from renewable resources (net cal. value),MJ,141.256737,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,149.4294006,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,171.7787707,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,-0.023020864,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Acidification,kg SO2 eq.,0.728056041,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Ecotoxicity (recommended),CTUe,1163.481529,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Eutrophication,kg N eq.,0.307660669,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,149.4524214,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,171.8017915,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Human Health Particulate Air,kg PM2.5 eq.,0.202373407,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,"Human toxicity, cancer (recommended)",CTUh,3.85E-05,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,"Human toxicity, non-canc. (recommended)",CTUh,7.10E-05,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Ozone Depletion Air,kg CFC 11 eq.,5.84E-06,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,"Resources, Fossil fuels",MJ surplus energy,-892.0950515,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Smog Air,kg O3 eq.,2.819398109,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Ecotoxicity (recommended and interim),CTUe,661469.9223,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Ecotoxicity (recommended only),CTUe,-1.49060401,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,"Human toxicity, cancer (recommended and interim)",CTUh,-4.06E-05,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,"Human toxicity, cancer (recommended only)",CTUh,7.82E-09,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,"Human toxicity, non-canc. (recommended and interim)",CTUh,6.40E-05,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,"Human toxicity, non-canc. (recommended only)",CTUh,1.03E-08,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,high characterization factor for unspecified water,m3 world equiv.,-28.84960013,AWARE,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,low characterization factor for unspecified water,m3 world equiv.,13.6096878,AWARE,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,OECD+BRIC average for unspecified water,m3 world equiv.,-11.45713991,AWARE,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Blue water consumption,kg,1304.378974,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Blue water use,kg,235955.9556,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Total freshwater consumption (including rainwater),kg,1294.138072,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,Total freshwater use,kg,235945.9699,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,high characterization factor for unspecified water,m3 equiv.,-0.395190723,WSI,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,low characterization factor for unspecified water,m3 equiv.,0.143489288,WSI,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion,OECD+BRIC average for unspecified water,m3 equiv.,-0.041913599,WSI,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,356.5402158,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,332.3647002,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,Primary energy from non renewable resources (gross cal. value),MJ,348.6432676,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,Primary energy from non renewable resources (net cal. value),MJ,324.4677521,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,Primary energy from renewable resources (gross cal. value),MJ,7.896948128,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,Primary energy from renewable resources (net cal. value),MJ,7.896948128,NA,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,22.87079102,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,22.9869726,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.026023649,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,Acidification,kg SO2 eq.,0.091179481,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,Ecotoxicity (recommended),CTUe,2.863706382,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,Eutrophication,kg N eq.,0.007808717,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,22.84476737,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,22.96094895,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,Human Health Particulate Air,kg PM2.5 eq.,0.005211376,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,"Human toxicity, cancer (recommended)",CTUh,1.22E-08,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,"Human toxicity, non-canc. (recommended)",CTUh,9.04E-07,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,Ozone Depletion Air,kg CFC 11 eq.,1.58E-10,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,"Resources, Fossil fuels",MJ surplus energy,43.56263032,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,Smog Air,kg O3 eq.,2.987853996,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,Ecotoxicity (recommended and interim),CTUe,277.6319978,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,Ecotoxicity (recommended only),CTUe,0.122390793,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,"Human toxicity, cancer (recommended and interim)",CTUh,3.43E-07,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,"Human toxicity, cancer (recommended only)",CTUh,1.03E-10,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,"Human toxicity, non-canc. (recommended and interim)",CTUh,1.04E-06,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,"Human toxicity, non-canc. (recommended only)",CTUh,3.35E-11,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,high characterization factor for unspecified water,m3 world equiv.,1.251647126,AWARE,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,low characterization factor for unspecified water,m3 world equiv.,1.176105775,AWARE,IMFO - Phase III_2018-02-16 09:16:41
FoodWaste,endOfLife,anaerobicDigestion_transport,OECD+BRIC average for unspecified water,m3 world equiv.,1.220703368,AWARE,IMFO - Phase III_2018-02-16 09:16:41
