material,LCstage,disposition,impactCategory,impactUnits,impactFactor,corporateSource,impactFactorID
Aluminum,endOfLife,incinerationNoER,OECD+BRIC average for unspecified water,m3 equiv.,1.183861324,WSI,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,356.5402158,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,332.3647002,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Primary energy from non renewable resources (gross cal. value),MJ,348.6432676,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Primary energy from non renewable resources (net cal. value),MJ,324.4677521,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Primary energy from renewable resources (gross cal. value),MJ,7.896948128,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Primary energy from renewable resources (net cal. value),MJ,7.896948128,NA,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,22.87079102,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,22.9869726,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.026023649,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Acidification,kg SO2 eq.,0.091179481,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Ecotoxicity (recommended),CTUe,2.863706382,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Eutrophication,kg N eq.,0.007808717,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,22.84476737,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,22.96094895,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Human Health Particulate Air,kg PM2.5 eq.,0.005211376,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,"Human toxicity, cancer (recommended)",CTUh,1.22E-08,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,"Human toxicity, non-canc. (recommended)",CTUh,9.04E-07,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Ozone Depletion Air,kg CFC 11 eq.,1.58E-10,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,"Resources, Fossil fuels",MJ surplus energy,43.56263032,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Smog Air,kg O3 eq.,2.987853996,TRACI 2.1,IMFO - Phase III_2018-02-16 09:16:41
Aluminum,endOfLife,incinerationNoER_transport,Ecotoxicity (recommended and interim),CTUe,277.6319978,USEtox 2.01,IMFO - Phase III_2018-02-16 09:16:41
